ticker,last_close,forecast_21d_price,expected_return_pct_21d,hw_exp_ret_pct,drift_exp_ret_pct,momentum_pct_60d,rel_strength_pct_90d,vol_pct_21d_ann,vol_pct_63d_ann,risk_adj_return,score,obs,rank
HYUNDAI.NS,2450.10009765625,2709.3861616824493,10.582672286500895,,10.582672286500895,35.75318689473619,33.007035136873796,44.20516665057248,35.56263838111221,0.2393989908499495,18.687464371768012,215,1
ETERNAL.NS,316.54998779296875,344.4555113900788,8.815518772144436,,8.815518772144436,31.239631757083117,28.493479999220718,20.49861946579108,31.855914562821308,0.43005426715960693,16.115421526692824,100,2
SWIGGY.NS,421.0,442.425673562119,5.089233625206413,,5.089233625206413,26.350535587140044,23.60438382927765,36.963990855683036,35.903846550221104,0.13768084850675608,12.439098729795559,199,3
HEROMOTOCO.NS,5170.0,5461.747400594835,5.64308318365253,3.58204795757342,7.704118409731642,24.701206855777485,21.95505509791509,33.07254707351277,26.047180188521164,0.1706274140636715,12.033541523384825,741,4
MARUTI.NS,14800.0,15330.71038787445,3.5858809991516916,0.028360215209999318,7.143401783093384,23.352456577944423,20.606304820082034,29.318720910092246,21.42596745613088,0.12230687041730189,10.561052347679267,741,5
DMART.NS,4781.60009765625,4912.590830741169,2.7394748705381167,-0.000124594489037122,5.4790743355652705,17.91280714220909,15.166655384346694,22.30543209642831,25.24898457102421,0.1228164896647207,8.004386258396138,741,6
EICHERMOT.NS,6153.5,6320.452720368411,2.7131343197921653,-1.2279488537103589e-08,5.426268651863819,16.42304026168459,13.676888503822205,15.632467848563254,15.13629937272533,0.17355764592482587,7.404237431789676,741,7
ASIANPAINT.NS,2567.89990234375,2641.880028533403,2.8809583318310295,0.9222288760167618,4.839687787645297,14.890809078697018,12.144657320834629,18.068094327676913,16.334002427114143,0.1594500382598703,6.8647496228623925,741,8
TORNTPHARM.NS,3565.0,3656.395182154729,2.5636797238353215,0.7070037228994908,4.420355724771152,13.932164116109021,11.186012358246632,16.077470279908948,19.43901558177433,0.1594579047077449,6.338517444196308,741,9
HINDUNILVR.NS,2656.0,2713.3523509942434,2.159350564542295,0.00436344773859787,4.314337681345992,14.098153785226913,11.352002027364527,20.020050475040613,19.34745989696031,0.10785939662012338,6.215225413948459,741,10
HINDALCO.NS,711.7000122070312,726.3029578602761,2.0518400172511053,0.02258401734720472,4.081096017155006,13.598367448098173,10.852215690235777,24.764316190326948,18.97314562606787,0.0828547011547431,5.963180428496118,740,11
ADANIPOWER.NS,603.8499755859375,615.8789074744557,1.992039807047441,0.5164882825410722,3.46759133155381,10.879545107627436,8.13339334976504,26.795499557024616,26.715094994927846,0.07434232762886538,4.847464541687294,741,12
APOLLOHOSP.NS,7635.0,7778.2736025989325,1.876537034694592,0.05141418271459308,3.701659886674591,10.545478813862786,7.7993270560003936,30.3588637770585,23.536913834300957,0.061811833554609126,4.659982202511514,740,13
GRASIM.NS,2775.699951171875,2817.7867199239727,1.5162578626097045,0.03656476748785664,2.9959509577315524,10.367945994851112,7.6217942369887215,20.756688764450857,18.41302394952982,0.07304912068665491,4.428529040538452,740,14
CIPLA.NS,1593.0,1617.8082892329558,1.5573314019432294,0.14853588126124695,2.966126922625212,9.06860733480687,6.322455576944486,20.7118611687668,16.97911187554697,0.0751903167587693,3.9275978486316596,741,15
JIOFIN.NS,312.3500061035156,316.2820011937604,1.2588426487629478,-3.10411696347046e-09,2.5176853006300126,9.211750595938014,6.465598838075626,19.411815414299845,23.824664919693188,0.06484930038205561,3.8489840616964823,497,16
M&M.NS,3276.5,3333.6993947644846,1.7457468263233467,0.8395372219584862,2.651956430688207,8.41370998165442,5.667558223792035,24.562214384730076,20.03070575210633,0.07107448860183586,3.7498084741181916,741,17
DABUR.NS,521.8499755859375,527.9098667435983,1.1612324309983324,-0.0105320530272901,2.332996915023955,8.80048030060017,6.054328542737775,25.33733745029313,20.53768117277827,0.04583087837372186,3.637698582266017,740,18
BAJAJ-AUTO.NS,8911.5,9079.268432526198,1.8826059869404332,1.5796149451223096,2.185597028758557,6.707378677832537,3.96122691997014,22.17246139413191,19.15802523432698,0.08490739722016959,3.1309375111598756,741,19
JSWSTEEL.NS,1035.300048828125,1047.2650452369148,1.1557032593916217,-0.026697774452488776,2.338104293235732,6.601760909498438,3.8556091516360524,20.43054561868593,17.650572660757554,0.056567420222718226,2.757333179879655,741,20
CGPOWER.NS,718.25,723.6031931723703,0.7453105704657625,0.1416519246669523,1.3489692162645728,5.881923173889419,3.1357714160270334,25.58092741966612,24.150432108221317,0.029135400692813906,2.280606572689925,741,21
INDIGO.NS,5673.0,5707.072779870375,0.6006130772144347,-0.41330356969283555,1.614529724121705,5.555616124129713,2.8094643662673224,25.80844277102442,25.953919741545594,0.023271961138575676,2.084090364889809,741,22
BRITANNIA.NS,5795.0,5853.469282184409,1.00896086599499,0.07733544142980442,1.9405862905601756,4.744755176556708,1.9986034186943114,30.449206271235873,21.63149716874762,0.03313586754962852,1.9449820767735135,740,23
HDFCLIFE.NS,783.9500122070312,788.8378267707228,0.6234854885620811,0.0610838294306415,1.1858871476935207,3.723034244928172,0.9768824870657777,14.29608267785943,16.271958059802348,0.04361233091689397,1.3644012537823802,741,24
BHARTIARTL.NS,1893.199951171875,1905.495840771418,0.6494765432426663,0.704805571932754,0.5941475145525787,3.678211095419954,0.9320593375575559,17.283177096504122,17.9764805207485,0.03757853892349667,1.3572628997863463,741,25
